storage_capex_eur_per_kwh,reconversion_capex_eur_per_kw,annualized_cost_meur,breakeven_reliability_value_eur_per_mwh
14.0,250.0,1512.4036623222235,9468.79415543751
14.0,300.0,1577.202464955557,9874.483812861214
14.0,350.0,1642.0012675888902,10280.173470284915
14.0,400.0,1706.8000702222234,10685.863127708619
14.0,450.0,1771.598872855557,11091.552785132322
14.0,500.0,1836.3976754888902,11497.242442556022
14.0,550.0,1901.1964781222237,11902.932099979726
14.0,600.0,1965.9952807555571,12308.621757403429
14.0,650.0,2030.7940833888902,12714.31141482713
14.0,700.0,2095.592886022224,13120.001072250834
14.0,750.0,2160.391688655557,13525.690729674536
14.0,800.0,2225.190491288891,13931.380387098241
14.0,850.0,2289.989293922224,14337.070044521943
14.0,900.0,2354.7880965555573,14742.759701945643
14.0,950.0,2419.5868991888906,15148.449359369344
14.0,1000.0,2484.3857018222243,15554.13901679305
15.0,250.0,1597.2900658333347,10000.247431746011
15.0,300.0,1662.0888684666681,10405.937089169714
15.0,350.0,1726.8876711000014,10811.626746593416
15.0,400.0,1791.6864737333349,11217.31640401712
15.0,450.0,1856.4852763666681,11623.006061440821
15.0,500.0,1921.2840790000014,12028.695718864523
15.0,550.0,1986.0828816333349,12434.385376288226
15.0,600.0,2050.8816842666683,12840.07503371193
15.0,650.0,2115.6804869000016,13245.76469113563
15.0,700.0,2180.4792895333353,13651.454348559335
15.0,750.0,2245.2780921666686,14057.144005983037
15.0,800.0,2310.0768948000023,14462.83366340674
15.0,850.0,2374.8756974333355,14868.523320830442
15.0,900.0,2439.6745000666683,15274.212978254143
15.0,950.0,2504.4733027000016,15679.902635677845
15.0,1000.0,2569.2721053333353,16085.59229310155
16.0,250.0,1682.1764693444459,10531.700708054512
16.0,300.0,1746.9752719777794,10937.390365478215
16.0,350.0,1811.7740746111126,11343.080022901917
16.0,400.0,1876.572877244446,11748.769680325619
16.0,450.0,1941.3716798777796,12154.459337749322
16.0,500.0,2006.1704825111126,12560.148995173024
16.0,550.0,2070.969285144446,12965.838652596727
16.0,600.0,2135.76808777778,13371.528310020429
16.0,650.0,2200.5668904111126,13777.21796744413
16.0,700.0,2265.3656930444463,14182.907624867836
16.0,750.0,2330.1644956777795,14588.597282291537
16.0,800.0,2394.9632983111132,14994.28693971524
16.0,850.0,2459.7621009444465,15399.976597138942
16.0,900.0,2524.5609035777798,15805.666254562644
16.0,950.0,2589.359706211113,16211.355911986346
16.0,1000.0,2654.1585088444467,16617.04556941005
